Resources 100.0  100.0  14.0 Utilities 0.0  102.46950765959599 
Resources 100.0  100.4  14.0 Utilities 0.4472135954999579  102.37235955080844 
Resources 100.0  100.8  14.0 Utilities 0.8944271909999159  102.27609691418616 
Resources 100.0  101.2  14.0 Utilities 1.3416407864998738  102.1807222522918 
Resources 100.0  101.6  14.0 Utilities 1.7888543819998317  102.08623805391206 
Resources 100.0  102.0  14.0 Utilities 2.23606797749979  101.99264679377626 
Resources 100.0  102.4  14.0 Utilities 2.6832815729997477  101.89995093227475 
Resources 100.0  102.8  14.0 Utilities 3.1304951684997055  101.80815291517669 
Resources 100.0  103.2  14.0 Utilities 3.5777087639996634  101.71725517334805 
Resources 100.0  103.6  14.0 Utilities 4.024922359499621  101.62726012246911 
Resources 100.0  104.0  14.0 Utilities 4.47213595499958  101.5381701627521 
Resources 100.0  104.4  14.0 Utilities 4.919349550499538  101.44998767865869 
Resources 100.0  104.8  14.0 Utilities 5.366563145999495  101.36271503861762 
Resources 100.0  105.2  14.0 Utilities 5.813776741499454  101.2763545947424 
Resources 100.0  105.6  14.0 Utilities 6.260990336999411  101.19090868254915 
Resources 100.0  106.0  14.0 Utilities 6.708203932499369  101.10637962067477 
Resources 100.0  106.4  14.0 Utilities 7.155417527999327  101.02276971059544 
Resources 100.0  106.8  14.0 Utilities 7.602631123499285  100.94008123634535 
Resources 100.0  107.2  14.0 Utilities 8.049844718999243  100.85831646423611 
Resources 100.0  107.6  14.0 Utilities 8.497058314499201  100.77747764257647 
Resources 100.0  108.0  14.0 Utilities 8.94427190999916  100.69756700139284 
Resources 100.0  108.4  14.0 Utilities 9.391485505499118  100.61858675215032 
Resources 100.0  108.8  14.0 Utilities 9.838699100999076  100.54053908747456 
Resources 100.0  109.2  14.0 Utilities 10.285912696499032  100.4634261808744 
Resources 100.0  109.6  14.0 Utilities 10.73312629199899  100.38725018646541 
Resources 100.0  110.0  14.0 Utilities 11.180339887498949  100.31201323869439 
Resources 100.0  110.4  14.0 Utilities 11.627553482998907  100.23771745206493 
Resources 100.0  110.8  14.0 Utilities 12.074767078498866  100.16436492086395 
Resources 100.0  111.2  14.0 Utilities 12.521980673998822  100.09195771888969 
Resources 100.0  111.6  14.0 Utilities 12.96919426949878  100.02049789918065 
Resources 100.0  112.0  14.0 Utilities 13.416407864998739  99.9499874937461 
Resources 100.0  112.4  14.0 Utilities 13.863621460498697  99.88042851329784 
Resources 100.0  112.8  14.0 Utilities 14.310835055998654  99.81182294698358 
